Meme,Data,Mes,Confiança,Coragem,Bondade,Justiça,Humildade,Gratidão,Família
IMG-20200406-WA0275.jpg,2020-04-06,abril,1,0,0,0,0,0,0
IMG-20200407-WA0045.jpg,2020-04-07,abril,1,1,0,0,0,0,0
IMG-20200408-WA0142.jpg,2020-04-08,abril,1,0,0,0,0,0,1
IMG-20200408-WA0146.jpg,2020-04-08,abril,0,0,0,0,0,0,0
IMG-20200408-WA0316.jpg,2020-04-08,abril,0,0,0,0,0,0,0
IMG-20200408-WA0323.jpg,2020-04-08,abril,0,0,0,0,0,0,0
IMG-20200409-WA0025.jpg,2020-04-09,abril,0,0,1,0,0,0,0
IMG-20200409-WA0080.jpg,2020-04-09,abril,0,0,0,0,0,1,1
IMG-20200409-WA0246.jpg,2020-04-09,abril,0,0,0,0,0,0,0
IMG-20200410-WA0009.jpg,2020-04-10,abril,0,0,0,0,0,0,0
IMG-20200410-WA0043.jpg,2020-04-10,abril,0,0,0,0,0,0,1
IMG-20200410-WA0091.jpg,2020-04-10,abril,0,1,0,0,0,0,0
IMG-20200411-WA0021.jpg,2020-04-11,abril,0,0,0,0,0,0,0
IMG-20200411-WA0035.jpg,2020-04-11,abril,0,0,0,0,0,0,0
IMG-20200412-WA0105.jpg,2020-04-12,abril,0,0,0,0,0,1,0
IMG-20200414-WA0057.jpg,2020-04-14,abril,1,0,0,0,0,0,0
IMG-20200414-WA0072.jpg,2020-04-14,abril,1,0,0,0,0,0,0
IMG-20200415-WA0077.jpg,2020-04-15,abril,0,0,0,0,0,0,0
IMG-20200415-WA0112.jpg,2020-04-15,abril,1,0,0,0,0,0,0
IMG-20200415-WA0137.jpg,2020-04-15,abril,0,0,0,0,1,0,0
IMG-20200416-WA0179.jpg,2020-04-16,abril,1,0,0,0,0,1,0
IMG-20200417-WA0118.jpg,2020-04-17,abril,0,0,1,0,0,0,0
IMG-20200417-WA0140.jpg,2020-04-17,abril,1,0,0,0,0,0,0
IMG-20200418-WA0098.jpg,2020-04-18,abril,0,0,0,0,0,1,0
IMG-20200419-WA0121.jpg,2020-04-19,abril,0,0,0,0,0,0,0
IMG-20200420-WA0060.jpg,2020-04-20,abril,1,0,0,0,0,1,0
IMG-20200422-WA0058.jpg,2020-04-22,abril,1,0,0,0,0,0,0
IMG-20200422-WA0066.jpg,2020-04-22,abril,0,0,0,0,0,0,0
IMG-20200422-WA0088.jpg,2020-04-22,abril,1,1,0,0,0,0,0
IMG-20200422-WA0107.jpg,2020-04-22,abril,0,1,0,0,0,1,0
IMG-20200423-WA0040.jpg,2020-04-23,abril,1,1,0,0,0,0,0
IMG-20200423-WA0059.jpg,2020-04-23,abril,0,0,0,0,0,0,0
IMG-20200423-WA0073.jpg,2020-04-23,abril,0,0,0,0,0,0,1
IMG-20200424-WA0059.jpg,2020-04-24,abril,1,0,0,0,0,0,0
IMG-20200424-WA0093.jpg,2020-04-24,abril,1,0,0,0,0,0,0
IMG-20200426-WA0109.jpg,2020-04-26,abril,1,0,0,0,0,0,0
IMG-20200426-WA0119.jpg,2020-04-26,abril,1,0,0,0,0,0,0
IMG-20200426-WA1057.jpg,2020-04-26,abril,1,0,0,0,0,0,0
IMG-20200427-WA0198.jpg,2020-04-27,abril,0,0,0,0,0,0,0
IMG-20200428-WA0053.jpg,2020-04-28,abril,1,0,0,0,0,0,0
IMG-20200429-WA0149.jpg,2020-04-29,abril,1,0,0,0,0,0,0
IMG-20200430-WA0082.jpg,2020-04-30,abril,1,0,0,0,0,0,0
IMG-20200430-WA0085.jpg,2020-04-30,abril,0,0,0,0,0,0,0
IMG-20200503-WA0122.jpg,2020-05-03,maio,0,0,0,0,0,0,0
IMG-20200504-WA0051.jpg,2020-05-04,maio,0,1,0,0,0,0,0
IMG-20200505-WA0288.jpg,2020-05-05,maio,1,0,0,0,0,0,1
IMG-20200506-WA0024.jpg,2020-05-06,maio,0,0,0,0,0,0,0
IMG-20200506-WA0387.jpg,2020-05-06,maio,0,0,0,0,0,1,0
IMG-20200507-WA0025.jpg,2020-05-07,maio,1,0,0,0,0,0,0
IMG-20200507-WA0350.jpg,2020-05-07,maio,1,0,0,0,0,0,0
IMG-20200510-WA0106.jpg,2020-05-10,maio,0,0,0,0,0,0,1
IMG-20200511-WA0033.jpg,2020-05-11,maio,1,1,0,0,0,0,0
IMG-20200511-WA0252.jpg,2020-05-11,maio,1,0,0,0,0,0,0
IMG-20200511-WA0316.jpg,2020-05-11,maio,0,0,0,0,0,0,0
IMG-20200512-WA0379.jpg,2020-05-12,maio,0,0,0,0,0,0,0
IMG-20200512-WA0884.jpg,2020-05-12,maio,1,0,0,0,0,0,0
IMG-20200513-WA0045.jpg,2020-05-13,maio,0,0,0,0,0,0,1
IMG-20200513-WA0296.jpg,2020-05-13,maio,0,0,0,0,0,1,0
IMG-20200514-WA0021.jpg,2020-05-14,maio,0,0,0,0,0,0,0
IMG-20200514-WA0079.jpg,2020-05-14,maio,0,0,0,0,0,0,0
IMG-20200515-WA0034.jpg,2020-05-15,maio,0,0,1,0,0,0,0
IMG-20200517-WA0020.jpg,2020-05-17,maio,1,0,0,0,0,0,0
IMG-20200518-WA0027.jpg,2020-05-18,maio,1,0,0,0,0,0,0
