Meme,Confiança/Entrega/Proteção,Coragem,Bondade/Caridade,Justiça/Honestidade,Humildade,Gratidão,Família,Religião,Nacionalismo,Meritocracia,Corrupção,Líder pol,Negro,Mulher,Obs
IMG-20200331-WA0062.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Criança
IMG-20200401-WA0080.jpg,1,1,0,0,0,1,0,1,0,1,0,0,0,0,Motivos florais/Borboletas
IMG-20200402-WA0021.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Menino e Cachorro
IMG-20200402-WA0227.jpg,1,0,0,0,0,0,0,1,0,1,0,0,0,0,Colunas
IMG-20200403-WA0358.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Estrelas
IMG-20200404-WA0035.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Baú de tesouro
IMG-20200404-WA0036.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Ampolieta/Livraria Adventista
IMG-20200404-WA0039.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200404-WA0146.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corações 
IMG-20200405-WA0035.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Céu/Coqueiro: Bendito o que vem em nome do senhor
IMG-20200406-WA0052.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Mulher e flores
IMG-20200406-WA0275.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200407-WA0045.jpg,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Montanha/Casa
IMG-20200408-WA0142.jpg,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Santa Ceia/Mãos
IMG-20200408-WA0146.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Só letras em fundo branco
IMG-20200408-WA0316.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais/Borboletas
IMG-20200408-WA0323.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Biblia: permanência da palavra de Deus
IMG-20200409-WA0025.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200409-WA0080.jpg,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Motivos florais/café
IMG-20200409-WA0246.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200410-WA0009.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Cruz
IMG-20200410-WA0043.jpg,0,0,0,0,0,0,1,1,0,0,0,0,0,0,João de Barro
IMG-20200410-WA0091.jpg,0,1,0,0,0,0,0,1,0,1,0,0,0,0,
IMG-20200411-WA0021.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos Florais/Pássaros
IMG-20200411-WA0035.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Borboleta/Floresta/Mão do céu
IMG-20200412-WA0105.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Cruz
IMG-20200414-WA0057.jpg,1,0,0,0,0,0,0,1,0,1,0,0,0,0,Jesus andando no lago com jovem
IMG-20200414-WA0072.jpg,1,0,0,0,0,0,0,1,0,1,0,0,0,0,Café/Coração
IMG-20200415-WA0077.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais 
IMG-20200415-WA0112.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Caderno
IMG-20200415-WA0137.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Amigos: não  fazemos nada sozinhos
IMG-20200416-WA0179.jpg,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Motivos florais
IMG-20200417-WA0118.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Motivos Florais
IMG-20200417-WA0140.jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos Florais/Pássaros
IMG-20200418-WA0098.jpg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Motivos Florais/Mão
IMG-20200419-WA0121.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Motivos florais
